tf,level,strength,tol,rank
1h,9207.629832214767,0.02306323040012383,168.79499999999825,1
1h,3907.4334523809525,0.01950313443231948,168.79499999999825,2
1h,9524.173239855072,0.01780047983902175,168.79499999999825,3
1h,3555.126711711712,0.017181332714186207,168.79499999999825,4
1h,10218.9149009901,0.015633464902097362,168.79499999999825,5
1h,7173.353586910995,0.014782137605448494,168.79499999999825,6
1h,9840.350059880238,0.012924696230941878,168.79499999999825,7
1h,7858.329207317073,0.01269251605912855,168.79499999999825,8
1h,8181.20173076923,0.012073368934293012,168.79499999999825,9
1h,8555.529025974025,0.011918582153084127,168.79499999999825,10
1h,8863.703112582782,0.0116864019812708,168.79499999999825,11
1h,10548.841073825504,0.011531615200061915,168.79499999999825,12
1h,16656.811971830986,0.010989861465830818,168.79499999999825,13
1h,11574.358580142858,0.010835074684621934,168.79499999999825,14
1h,29249.1442519685,0.009828960606764182,168.79499999999825,15
1h,11273.070806451611,0.009596780434950856,168.79499999999825,16
1h,7474.037642276424,0.009519387044346413,168.79499999999825,17
1h,26835.87487179487,0.009055026700719759,168.79499999999825,18
1h,19054.519217391306,0.008900239919510874,168.79499999999825,19
1h,10862.840265486726,0.008745453138301988,168.79499999999825,20
1h,30286.554454545454,0.008513272966488662,168.79499999999825,21
1h,26486.446944444444,0.008358486185279778,168.79499999999825,22
1h,29910.00386006536,0.007894125841653122,168.79499999999825,23
1h,19350.414563071896,0.007894125841653122,168.79499999999825,24
1h,27206.22159646666,0.007739339060444238,168.79499999999825,25
1h,5071.886657037037,0.0076619456698397955,168.79499999999825,26
1h,6796.165274725274,0.007042798545004256,168.79499999999825,27
1h,16931.889379166667,0.00681061837319093,168.79499999999825,28
1h,20007.90151162791,0.006655831591982045,168.79499999999825,29
1h,23101.23867694118,0.006578438201377603,168.79499999999825,30
1h,26095.51823529412,0.006578438201377603,168.79499999999825,31
1h,29542.653950617285,0.006268864638959833,168.79499999999825,32
1h,25762.411688311688,0.005959291076542064,168.79499999999825,33
