tf,level,strength,tol,rank
15m,9155.960566860465,0.013396942848797586,77.86499999999978,1
15m,3953.0459581881532,0.01117710057443287,77.86499999999978,2
15m,9301.852342342341,0.01080712686203875,77.86499999999978,3
15m,3596.0634555984557,0.010086651737902833,77.86499999999978,4
15m,9598.55749473684,0.009249342809852984,77.86499999999978,5
15m,9446.785529118773,0.008470450783760101,77.86499999999978,6
15m,7125.2405065560815,0.008217310875279915,77.86499999999978,7
15m,3788.438788598575,0.008197838574627593,77.86499999999978,8
15m,8674.253611111111,0.00771103105831954,77.86499999999978,9
15m,7264.40144736842,0.007399474247882387,77.86499999999978,10
15m,10226.902254641911,0.007341057345925421,77.86499999999978,11
15m,9748.018629032258,0.007243695842663811,77.86499999999978,12
15m,8061.379353099731,0.007224223542011489,77.86499999999978,13
15m,7895.48061971831,0.0069126667315743354,77.86499999999978,14
15m,16810.781601652092,0.00667899912374647,77.86499999999978,15
15m,8821.684705882353,0.006620582221789504,77.86499999999978,16
15m,10367.087641791046,0.006523220718527894,77.86499999999978,17
15m,11324.390343750001,0.006231136208743063,77.86499999999978,18
15m,10688.691693290735,0.0060948301041768085,77.86499999999978,19
15m,19164.88655844156,0.005997468600915198,77.86499999999978,20
15m,10068.976733333335,0.005841690195696621,77.86499999999978,21
15m,10527.052730375428,0.005705384091130367,77.86499999999978,22
15m,3447.311875,0.005608022587868757,77.86499999999978,23
15m,7410.132153846153,0.0050627981696037385,77.86499999999978,24
15m,8205.142277992278,0.0050433258689514164,77.86499999999978,25
15m,5182.828089160104,0.004945964365689806,77.86499999999978,26
15m,11463.801202714098,0.004926492065037484,77.86499999999978,27
15m,16647.208972332013,0.004926492065037484,77.86499999999978,28
15m,11621.6991902834,0.004809658261123552,77.86499999999978,29
15m,29395.693811475405,0.004751241359166585,77.86499999999978,30
15m,11767.357364016738,0.004653879855904975,77.86499999999978,31
15m,8509.015527426161,0.004614935254600331,77.86499999999978,32
15m,9895.007787234043,0.004575990653295687,77.86499999999978,33
15m,8991.022,0.004478629150034077,77.86499999999978,34
15m,26540.620263157893,0.004439684548729433,77.86499999999978,35
15m,26858.67419642857,0.004361795346120144,77.86499999999978,36
15m,10848.411300448432,0.004342323045467822,77.86499999999978,37
15m,30194.962805429863,0.004303378444163178,77.86499999999978,38
15m,29247.37990825688,0.004244961542206212,77.86499999999978,39
15m,5315.4938990825685,0.004244961542206212,77.86499999999978,40
15m,19313.160951500788,0.004108655437639957,77.86499999999978,41
15m,8345.98023923445,0.004069710836335313,77.86499999999978,42
15m,30340.79980392157,0.003972349333073702,77.86499999999978,43
15m,16947.83222772277,0.003933404731769058,77.86499999999978,44
15m,7715.161094527362,0.003913932431116736,77.86499999999978,45
15m,29095.644360033166,0.003913932431116736,77.86499999999978,46
15m,27166.783233230242,0.003777626326550482,77.86499999999978,47
15m,26052.398652849744,0.00375815402589816,77.86499999999978,48
15m,19008.467037037033,0.0036802648232888715,77.86499999999978,49
15m,29856.58413043478,0.0035829033200272613,77.86499999999978,50
15m,6788.992696629213,0.0034660695161133287,77.86499999999978,51
15m,7542.934318181818,0.0034271249148086847,77.86499999999978,52
15m,16494.72896551724,0.0033881803135040406,77.86499999999978,53
15m,25902.502035928148,0.003251874208937786,77.86499999999978,54
15m,4996.930802469136,0.003154512705676176,77.86499999999978,55
15m,27007.187160493828,0.003154512705676176,77.86499999999978,56
15m,22950.777701863353,0.0031350404050238534,77.86499999999978,57
15m,21311.292298136646,0.0031350404050238534,77.86499999999978,58
15m,27809.734113924045,0.0030766235030668873,77.86499999999978,59
15m,26702.710769230773,0.0030376789017622433,77.86499999999978,60
15m,27958.931096774195,0.0030182066011099212,77.86499999999978,61
15m,27485.034025974026,0.002998734300457599,77.86499999999978,62
15m,42758.95679738562,0.002979261999805277,77.86499999999978,63
15m,25756.156092715235,0.0029403173985006327,77.86499999999978,64
