tf,level,strength,tol,rank
4h,104083.46133333333,0.004595588235294118,360.0,69
4h,110476.05933333332,0.004595588235294118,360.0,70
4h,51162.880666666664,0.004595588235294118,360.0,71
4h,15788.650666666665,0.004595588235294118,360.0,72
4h,60605.198666666656,0.004595588235294118,360.0,73
4h,53562.642666666674,0.004595588235294118,360.0,74
4h,106618.75533333332,0.004595588235294118,360.0,75
4h,62797.12000000001,0.004595588235294118,360.0,76
4h,13050.727857142858,0.00428921568627451,360.0,77
4h,97242.35071428573,0.00428921568627451,360.0,78
4h,56923.10785714286,0.00428921568627451,360.0,79
4h,94392.28857142855,0.00428921568627451,360.0,80
4h,93628.635,0.00428921568627451,360.0,81
4h,65055.35714285715,0.00428921568627451,360.0,82
4h,32899.487692307695,0.003982843137254902,360.0,83
4h,52722.165384615386,0.003982843137254902,360.0,84
4h,107348.20230769232,0.003982843137254902,360.0,85
4h,108507.69333333331,0.003676470588235294,360.0,86
4h,95056.59833333333,0.003676470588235294,360.0,87
4h,111874.53583333333,0.003676470588235294,360.0,88
4h,71515.5275,0.003676470588235294,360.0,89
4h,115905.8875,0.003676470588235294,360.0,90
4h,83731.66166666667,0.003676470588235294,360.0,91
4h,85305.8275,0.003676470588235294,360.0,92
4h,46019.700833333336,0.003676470588235294,360.0,93
4h,24759.180833333332,0.003676470588235294,360.0,94
4h,32209.283333333336,0.003676470588235294,360.0,95
4h,105890.76454545456,0.0033700980392156864,360.0,96
4h,70144.70636363636,0.0033700980392156864,360.0,97
4h,69584.24272727274,0.0033700980392156864,360.0,98
4h,116675.44454545456,0.0033700980392156864,360.0,99
4h,109701.91363636364,0.0033700980392156864,360.0,100
4h,96324.29636363637,0.0033700980392156864,360.0,101
4h,91815.3290909091,0.0033700980392156864,360.0,102
4h,86521.26599999999,0.0030637254901960784,360.0,103
4h,48745.041,0.0030637254901960784,360.0,104
4h,31515.354000000003,0.0030637254901960784,360.0,105
4h,91042.563,0.0030637254901960784,360.0,106
4h,97952.14499999999,0.0030637254901960784,360.0,107
